"site_ID","sampling_point","quarter","treeID","species","dead_alive","burnt","charring","distance","bearing","dbh","height","crown_NS","crown_EW","layer","age_class","hollows","hollow_num","hollow_height","hollow_size","ybg_signs","reproductive","leaf_sample","epicormic_sample","bag_ID","comments","plot","gg_pres","n_gg","firesev","elevation","aspect","slope","mid_understory_density","layers","foliagecover","c","total_n","AHMI","cond","et0","hn","rain","vpd","FT","ph","slope.1","TWI","fires","NDVI","climsuit","ASC_O","ASC_SO","x","y","Colour","Gravel","Texture","Ammonium.Nitrogen","Nitrate.Nitrogen","Phosphorus.Colwell","Potassium.Colwell","Sulfur","Organic.Carbon","Conductivity","pH.Level..CaCl2.","pH.Level..H2O.","DTPA.Copper","DTPA.Iron","DTPA.Manganese","DTPA.Zinc","Exc..Aluminium","Exc..Calcium","Exc..Magnesium","Exc..Potassium","Exc..Sodium","Boron.Hot.CaCl2","Total.Nitrogen","Total.Carbon","mean_leaf_n","mean_leaf_c"
"G3F0",5,4,"d7","unknown","D","burnt","light",4.7,128,27.9,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",5,3,"d6","unknown","D","unburnt","",6.4,26,29,NA,NA,NA,"midstorey","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",5,3,"19","Eucalyptus consideniana","A","burnt","light",9.6,316,23.4,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",5,2,"18","Eucalyptus denticulata","A","burnt","light",2.4,228,107.9,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",5,1,"17","Eucalyptus consideniana","A","burnt","light",9.7,185,94.5,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",5,1,"d5","unknown","D","burnt","light",2.8,198,25,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",4,3,"15","Eucalyptus fastigata","A","burnt","light",18.9,9.2,36.5,25,9.1,3.5,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",4,3,"d4","unknown","D","burnt","light",16.2,19,27.8,NA,NA,NA,"canopy","stag","present",1,3,"<5cm","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",4,2,"14","Eucalyptus denticulata","A","burnt","light",0.5,242,107.9,51.2,18.2,16.7,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",4,1,"13","Eucalyptus denticulata","A","burnt","light",13.1,148,51,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","yes","yes","g3 f0 tree 13 e.denticulata 2","","G3F0",0,0,3,930,40,10,"high",1,70,52.5,1.22,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
